# suite	byond-canonical
# byond_version	516
# byond_build	1685
# system	windows
# runner_priority	High
# clock	tick_usage
# source_commit	eeadc70
# merged_runs	3
# merged_from	S1685_1\results-516.1685-windows.tsv S1685_2\results-516.1685-windows.tsv S1685_3\results-516.1685-windows.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.08	us				n=3 min=0.08 max=0.09 spread=12%
MEASURE	framework.bare_loop	framework	loop iteration, no accumulator	0.03	us				n=3 min=0.03 max=0.03 spread=0%
ASSERT	framework.discarded_work_still_costs	framework	an expression whose result is unused is still executed	1		1	PASS		n=3 PASS/PASS/PASS; bare loop 1.3125 ds, discarded istype 5 ds over 4000000
ASSERT	lifetime.refcount_collects	lifetime	unreferenced object is collected	0		0	PASS		n=3 PASS/PASS/PASS; created 1, dropped the only ref
ASSERT	lifetime.cycle_not_collected	lifetime	loc/contents cycle is never collected	0		0	PASS		n=3 PASS/PASS/PASS; 500 host+child pairs, all refs dropped, none freed
ASSERT	lifetime.cycle_broken_collects	lifetime	clearing contents first allows collection	1		1	PASS		n=3 PASS/PASS/PASS; 500 pairs, freed 499; the last iteration's local may still be scoped
ASSERT	lifetime.del_src_aborts_proc	lifetime	del(src) aborts the calling proc	0		0	PASS		n=3 PASS/PASS/PASS; the line after del(src) must not execute
ASSERT	lifetime.del_nulls_caller_ref	lifetime	del(src) nulls the caller's local	NULL		NULL	PASS		n=3 PASS/PASS/PASS
ASSERT	lifetime.src_never_null_in_proc	lifetime	if(!src) never passes inside a live proc	1		1	PASS		n=3 PASS/PASS/PASS; guarded del must not fire; proc runs to completion
ASSERT	lifetime.spawn_pins_object	lifetime	object survives while a spawn is pending	1		1	PASS		n=3 PASS/PASS/PASS; only ref dropped, spawn still queued
ASSERT	lifetime.spawn_sees_live_src	lifetime	pending spawn wakes with src alive	ALIVE		ALIVE	PASS		n=3 PASS/PASS/PASS
ASSERT	lifetime.collected_after_spawn	lifetime	object is collected once the spawn resolves	0		0	PASS		n=3 PASS/PASS/PASS; collected 0 ticks after the spawn fired
ASSERT	numeric.eq_at_2p24	numeric	16777216 == 16777217	1		1	PASS		n=3 PASS/PASS/PASS; 16777217 is not representable and rounds down
ASSERT	numeric.increment_stalls	numeric	n+1 == n first holds at 2^24	16777216		16777216	PASS		n=3 PASS/PASS/PASS
ASSERT	numeric.loop_nonterminating	numeric	for-loop past 2^24 does not terminate	1		1	PASS		n=3 PASS/PASS/PASS; bailed via guard at i=16777216
ASSERT	numeric.loop_control_terminates	numeric	same loop below 2^24 terminates normally	21		21	PASS		n=3 PASS/PASS/PASS; control for the above
ASSERT	numeric.accumulator_saturates	numeric	accumulator saturates at 2^24	16777216		16777216	PASS		n=3 PASS/PASS/PASS; expected 18000000, lost 1222784, no error raised
ASSERT	numeric.num2text_plain_at_bound	numeric	a value at 2^24 still renders as digits	1		1	PASS		n=3 PASS/PASS/PASS; "16777216"
ASSERT	numeric.num2text_scientific_above_bound	numeric	a value above 2^24 renders in scientific notation	1		1	PASS		n=3 PASS/PASS/PASS; 16777218 renders as "1.67772e+07", not as digits
ASSERT	numeric.shift_23_ok	numeric	1 << 23	8388608		8388608	PASS		n=3 PASS/PASS/PASS; highest usable bit
ASSERT	numeric.shift_24_zero	numeric	1 << 24	0		0	PASS		n=3 PASS/PASS/PASS; mask becomes zero, not a large number
